anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
45762,Huo Xing Wa: Xue Han Zi,UNKNOWN,UNKNOWN,TV,52,2010 to ?,Unknown,16653,21176,77
45763,Huo Xing Wa: Yewai Da Maoxian,UNKNOWN,UNKNOWN,TV,26,Not available,Unknown,16654,21453,72
45764,Huo Xing Wa: Dazhan Ha Lou Guai,UNKNOWN,UNKNOWN,TV,52,"Dec 3, 2010 to 2011",Unknown,16650,21014,81
45765,Huo Xing Wa: Maoxian Leyuan,UNKNOWN,UNKNOWN,TV,53,May 2007 to Aug 2007,Unknown,16651,20424,110
45766,Huo Xing Wa: Yinghan Leyuan - Nengliang Mofang,UNKNOWN,UNKNOWN,TV,52,Not available,Unknown,16656,21078,79
45768,Xiao Xiao Zhihui Wu,UNKNOWN,UNKNOWN,TV,52,Not available,Original,13681,23759,41
45769,Zhihui Mima,UNKNOWN,UNKNOWN,TV,52,2011 to ?,Original,14274,21037,80
45770,Qi Huan Ya Xian Bao,UNKNOWN,UNKNOWN,TV,26,"Dec 18, 2018 to ?",Unknown,19017,21741,67
45773,Hong Lou Meng,UNKNOWN,UNKNOWN,TV,108,2011 to ?,Novel,16502,22781,51
45774,Hong Lou Meng (ONA),UNKNOWN,UNKNOWN,ONA,16,2018 to ?,Original,16501,23148,46
45776,Xiao Xiao Lushi,UNKNOWN,UNKNOWN,TV,100,2005 to ?,Original,13676,22307,57
45780,Jinxiu Shenzhou: Xingshi Wangguo,UNKNOWN,"Adventure, Fantasy",TV,26,"Nov 29, 2014 to ?",Original,16934,20768,90
45781,Cike Nieyinniang Qianchuan,UNKNOWN,Action,Movie,1,"Aug 20, 2015",Original,15337,20319,115
45782,D4DJ Petit Mix,6.97,Comedy,TV,26,"Feb 5, 2021 to Jul 30, 2021",Mixed media,4112,7272,6335
