anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
410,InuYasha Movie 4: Guren no Houraijima,7.55,"Action, Adventure, Fantasy, Romance",Movie,1,2004,Manga,1553,2058,91029
411,InuYasha Movie 2: Kagami no Naka no Mugenjo,7.67,"Action, Adventure, Fantasy, Romance",Movie,1,2002,Manga,1208,1907,101964
412,InuYasha Movie 3: Tenka Hadou no Ken,7.8,"Action, Adventure, Fantasy, Romance",Movie,1,2003,Manga,918,1955,98458
413,InuYasha Movie 1: Toki wo Koeru Omoi,7.56,"Action, Adventure, Fantasy, Romance",Movie,1,2001,Manga,1502,1934,99869
414,.hack//Gift,6.1,"Comedy, Fantasy",OVA,1,2003,Original,8363,4517,20567
415,Fantastic Children,7.53,"Adventure, Fantasy, Mystery, Romance, Sci-Fi, Suspense",TV,26,2004,Original,1609,3649,32481
416,Gokujou Seitokai,6.96,"Comedy, Slice of Life",TV,26,2005,Original,4131,4619,19602
417,Mushishi,8.66,"Adventure, Mystery, Slice of Life, Supernatural",TV,26,2005,Manga,62,211,793935
418,Buttobi!! CPU,6.24,"Comedy, Sci-Fi, Ecchi",OVA,3,1997,Manga,7666,6194,9423
419,One Piece Movie 01,7.09,"Action, Adventure, Fantasy",Movie,1,2000,Manga,3578,1669,123297
420,One Piece Movie 02: Nejimaki-jima no Daibouken,7.1,"Action, Adventure, Fantasy",Movie,1,2001,Manga,3560,2027,92874
421,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,6.87,"Action, Adventure, Fantasy",Movie,1,2002,Manga,4537,2197,81378
422,One Piece Movie 04: Dead End no Bouken,7.53,"Action, Adventure, Fantasy",Movie,1,2003,Manga,1623,1956,98400
423,One Piece Movie 05: Norowareta Seiken,7.13,"Action, Adventure, Fantasy",Movie,1,2004,Manga,3418,2250,78599
424,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,7.74,"Action, Adventure, Drama, Fantasy",Movie,1,2005,Manga,1049,1959,98281
425,One Piece Movie 07: Karakuri-jou no Mecha Kyohei,7.2,"Action, Adventure, Fantasy",Movie,1,2006,Manga,3039,2386,71447
426,One Piece: Taose! Kaizoku Ganzack,6.7,"Action, Adventure, Fantasy",OVA,1,1998,Manga,5317,3399,37650
427,Koukaku Kidoutai: Stand Alone Complex,8.42,"Action, Award Winning, Sci-Fi",TV,26,2002,Manga,161,550,385010
428,Innocence,7.79,"Award Winning, Sci-Fi",Movie,1,2004,Manga,940,1386,156515
429,Karin,7.11,"Comedy, Romance, Supernatural",TV,24,2005,Manga,3488,1267,174662
430,Okusama wa Joshikousei (TV),6.3,"Comedy, Drama, Romance",TV,13,2005,Manga,7404,3957,27546
431,To Heart 2,6.51,"Comedy, Drama, Romance",TV,13,2005,Visual novel,6349,4495,20776
432,To Heart,6.6,"Drama, Romance",TV,13,1999,Visual novel,5846,4034,26497
433,Tide-Line Blue,6.6,"Action, Adventure, Drama",TV,12,2005,Original,5846,6850,7338
434,Macross Plus,7.71,"Drama, Romance, Sci-Fi",OVA,4,1994,Original,1121,3025,46189
435,Hotori: Tada Saiwai wo Koinegau,6.86,"Drama, Sci-Fi",Special,1,2005,Unknown,4579,7309,6251
436,Ginban Kaleidoscope,7.31,"Drama, Romance, Sports, Supernatural",TV,12,2005,Light novel,2479,2947,48549
437,Aria the Animation,7.67,"Fantasy, Sci-Fi, Slice of Life",TV,13,2005,Manga,1198,1378,157473
438,Sousei no Aquarion,7.09,"Action, Fantasy, Romance, Sci-Fi",TV,26,2005,Original,3587,2313,75292
439,Ueki no Housoku,7.72,"Action, Adventure, Supernatural",TV,51,2005,Manga,1093,1762,114761
440,Yu☆Gi☆Oh! Duel Monsters,7.48,"Action, Adventure, Fantasy",TV,224,2000,Manga,1776,560,381676
441,Yu☆Gi☆Oh! Duel Monsters GX,7.19,"Action, Comedy, Fantasy",TV,180,2004,Manga,3073,1070,209100
442,Kurau Phantom Memory,7.29,"Action, Drama, Sci-Fi",TV,24,2004,Original,2565,3782,30405
443,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,7.31,"Adventure, Supernatural",Movie,1,2001,Manga,2478,6107,9764
444,Damekko Doubutsu,7.23,"Comedy, Slice of Life",TV,26,2005,4-koma manga,2861,5822,10932
445,Kino no Tabi: The Beautiful World,8.29,"Action, Adventure, Slice of Life",TV,13,2003,Light novel,246,742,299052
446,Girls Bravo: Second Season,6.61,"Comedy, Fantasy, Romance, Ecchi",TV,13,2005,Manga,5800,2082,89686
447,Ichigo Mashimaro,7.63,"Comedy, Slice of Life",TV,12,2005,Manga,1318,1908,101915
448,Kamichu!,7.36,"Award Winning, Comedy, Drama, Slice of Life, Supernatural",TV,12,2005,Original,2259,2619,60958
449,Paniponi Dash!,7.43,Comedy,TV,26,2005,Manga,1974,2613,61154
450,Armitage III: Dual-Matrix,6.81,"Action, Adventure, Sci-Fi",Movie,1,2002,Original,4788,4807,17871
451,Armitage III: Poly-Matrix,7.05,"Action, Adventure, Romance, Sci-Fi",Movie,1,1996,Original,3743,5158,14759
452,Bakuretsu Hunters,6.66,"Adventure, Comedy, Fantasy, Supernatural, Ecchi",TV,26,1995,Manga,5507,4450,21221
453,Kamui no Ken,6.61,"Adventure, Drama, Fantasy",Movie,1,1985,Novel,5810,7048,6829
454,Yami to Boushi to Hon no Tabibito,6.52,"Adventure, Fantasy, Girls Love, Mystery, Ecchi",TV,13,2003,Visual novel,6258,3848,29375
455,Haja Taisei Dangaiou,6.08,"Action, Adventure, Sci-Fi",OVA,3,1987,Original,8464,6985,6994
456,Makai Toshi Shinjuku,6.15,"Adventure, Horror, Romance, Supernatural",OVA,1,1988,Novel,8114,4336,22571
457,Doraemon,7.37,"Adventure, Comedy, Fantasy",TV,26,1973,Manga,2185,4557,20211
458,Dragon Ball Movie 1: Shen Long no Densetsu,6.77,"Action, Adventure, Comedy, Fantasy",Movie,1,1986,Manga,4983,2516,65478
459,Eien no Aselia,5.33,"Adventure, Drama, Fantasy",OVA,2,2005,Visual novel,11272,8250,4637
460,Fatal Fury: The Motion Picture,6.56,"Action, Adventure, Drama, Romance",Movie,1,1994,Game,6029,5404,13212
461,Fushigiboshi no☆Futagohime,7.36,"Comedy, Fantasy",TV,51,2005,Original,2254,5671,11682
462,Glass no Kamen,7.35,"Drama, Romance",TV,23,1984,Manga,2270,6353,8873
463,Gravitation: Lyrics of Love,6.9,"Boys Love, Comedy",OVA,2,1999,Manga,4380,3668,32235
464,Tottoko Hamtarou,6.99,"Adventure, Comedy",TV,296,2000,Manga,4051,2702,57506
465,I My Me! Strawberry Eggs,6.76,"Comedy, Drama, Romance",TV,13,2001,Original,5061,3388,37798
466,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.77,"Comedy, Drama, Romance",TV,13,2004,Visual novel,9825,7388,6081
467,Kidou Shinsengumi Moeyo Ken TV,6.12,"Adventure, Comedy, Fantasy",TV,13,2005,Game,8272,7482,5886
468,Majo no Takkyuubin,8.22,"Adventure, Award Winning, Comedy, Drama, Fantasy",Movie,1,1989,Novel,323,367,547722
469,Tenkuu no Shiro Laputa,8.26,"Adventure, Award Winning, Fantasy, Romance, Sci-Fi",Movie,1,1986,Original,286,451,460201
470,Cossette no Shouzou,6.79,"Drama, Horror, Romance, Supernatural",OVA,3,2004,Original,4898,2421,69703
471,Hajimari no Boukensha-tachi: Legend of Crystania,6.01,"Action, Adventure, Fantasy, Supernatural",Movie,1,1995,Unknown,8808,7798,5349
472,Keroro Gunsou,7.69,"Comedy, Sci-Fi",TV,358,2004,Manga,1161,2331,74389
473,School Rumble: Ichi Gakki Hoshuu,7.71,"Comedy, Romance",OVA,2,2005,Manga,1129,2681,58378
474,Mahou no Princess Minky Momo,7.13,UNKNOWN,TV,63,1982,Original,3409,6482,8389
475,Mahoraba: Heartful days,7.29,"Comedy, Drama, Romance",TV,26,2005,Manga,2568,4119,25431
476,Marmalade Boy Movie,7.3,Romance,Movie,1,1995,Unknown,2508,5899,10607
477,Mermaid Melody Pichi Pichi Pitch,7.15,"Adventure, Comedy, Romance",TV,52,2003,Manga,3279,2260,77803
478,Metropolis,7.52,"Adventure, Drama, Romance, Sci-Fi",Movie,1,2001,Manga,1666,1911,101614
