Type,Total_Animes,Promedio,Puntaje_Minimo,Puntaje_Maximo,Desviacion_Estandar,Varianza
Movie,1858,6.717378902045209,2.91,9.04,0.9138384240046911,0.8351006651873776
ONA,1629,6.10938612645795,2.3,8.72,0.8834877507519762,0.7805506057287859
OVA,1747,6.356164854035489,1.85,9.02,0.8955378453043183,0.8019880323723012
Special,1737,6.457092688543465,3.35,9.05,0.7357852705308473,0.5413799643301521
TV,4295,6.872537834691501,2.9,9.1,0.8105113386553751,0.656928630088928
